date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:27	13926/13926	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20May%202021%2016:57:27%20GMT	https://preview.colorlib.com/theme/moose/	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/index.html	(from )
22:57:27	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
22:57:28	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/fkhri/Downloads/Templates/Moose/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/moose/)
22:57:28	103945/103945	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/moose/css/A.animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css,Mcc.nz9zzkaoXH.css.pagespeed.cf.HVOMWXzxQA.css	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/css/A.animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css,Mcc.nz9zzkaoXH.css.pagespeed.cf.HVOMWXzxQA.css	(from https://preview.colorlib.com/theme/moose/)
22:57:28	13980/13980	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20May%202021%2016:57:28%20GMT	https://preview.colorlib.com/theme/moose/index.html	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/index-2.html	(from https://preview.colorlib.com/theme/moose/)
22:57:29	17440/17440	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20May%202021%2016:57:29%20GMT	https://preview.colorlib.com/theme/moose/blog.html	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/blog.html	(from https://preview.colorlib.com/theme/moose/)
22:57:29	8701/8701	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20May%202021%2016:57:29%20GMT	https://preview.colorlib.com/theme/moose/about.html	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/about.html	(from https://preview.colorlib.com/theme/moose/)
22:57:29	9106/9106	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20May%202021%2016:57:29%20GMT	https://preview.colorlib.com/theme/moose/contact.html	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/contact.html	(from https://preview.colorlib.com/theme/moose/)
22:57:30	35651/35651	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/moose/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	(from https://preview.colorlib.com/theme/moose/)
22:57:30	165688/165688	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/moose/images/ximage_1.jpg.pagespeed.ic.CMXGCCUdn8.jpg	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/images/ximage_1.jpg.pagespeed.ic.CMXGCCUdn8.jpg	(from https://preview.colorlib.com/theme/moose/)
22:57:30	14352/14352	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20May%202021%2016:57:30%20GMT	https://preview.colorlib.com/theme/moose/blog-single.html	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/blog-single.html	(from https://preview.colorlib.com/theme/moose/)
22:57:31	136804/136804	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/moose/images/ximage_2.jpg.pagespeed.ic.NnUd5zBlZ1.jpg	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/images/ximage_2.jpg.pagespeed.ic.NnUd5zBlZ1.jpg	(from https://preview.colorlib.com/theme/moose/)
22:57:31	46143/46143	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/moose/images/xperson_2.jpg.pagespeed.ic.yyrmjBH91b.jpg	C:/Users/fkhri/Downloads/Templates/Moose/preview.colorlib.com/theme/moose/images/xperson_2.jpg.pagespeed.ic.yyrmjBH91b.jpg	(from https://preview.colorlib.com/theme/moose/)
